#,Name,Type 1,Type 2,Level,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
1,Bulbasaur,Grass,Poison,5,318,45,49,49,65,65,45,1
2,Ivysaur,Grass,Poison,26,405,60,62,63,80,80,60,1
3,Venusaur,Grass,Poison,100,525,80,82,83,100,100,80,1
4,Charmander,Fire,  ,5,309,39,52,43,60,50,65,1
5,Charmeleon,Fire,  ,26,405,58,64,58,80,65,80,1
6,Charizard,Fire,Flying,100,534,78,84,78,109,85,100,1
7,Squirtle,Water,  ,5,314,44,48,65,50,64,43,1
8,Wartortle,Water,  ,26,405,59,63,80,65,80,58,1
9,Blastoise,Water,  ,100,530,79,83,100,85,105,78,1
10,Caterpie,Bug,  ,3,195,45,30,35,20,20,45,1
11,Metapod,Bug,  ,8,205,50,20,55,25,25,30,1
12,Butterfree,Bug,Flying,15,395,60,45,50,90,80,70,1
13,Weedle,Bug,Poison,3,195,40,35,30,20,20,50,1
14,Kakuna,Bug,Poison,8,205,45,25,50,25,25,35,1
15,Beedrill,Bug,Poison,15,395,65,90,40,45,80,75,1
16,Pidgey,Normal,Flying,7,251,40,45,40,35,35,56,1
17,Pidgeotto,Normal,Flying,20,349,63,60,55,50,50,71,1
18,Pidgeot,Normal,Flying,70,479,83,80,75,70,70,101,1
19,Rattata,Normal,  ,7,253,30,56,35,25,35,72,1
20,Raticate,Normal,  ,50,413,55,81,60,50,70,97,1
21,Spearow,Normal,Flying,17,262,40,60,30,31,31,70,1
22,Fearow,Normal,Flying,40,442,65,90,65,61,61,100,1
23,Ekans,Poison,  ,15,288,35,60,44,40,54,55,1
24,Arbok,Poison,  ,38,438,60,85,69,65,79,80,1
25,Pikachu,Electric,,25,320,35,55,40,50,50,90,1
26,Raichu,Electric,  ,45,485,60,90,55,90,80,110,1
27,Sandshrew,Ground,  ,22,300,50,75,85,20,30,40,1
28,Sandslash,Ground,  ,44,450,75,100,110,45,55,65,1
29,Nidoran(male),Poison,,6,275,55,47,52,40,40,41,1
30,Nidorina,Poison,  ,25,365,70,62,67,55,55,56,1
31,Nidoqueen,Poison,Ground,55,505,90,92,87,75,85,76,1
32,Nidoran(female),Poison,,6,273,46,57,40,40,40,50,1
33,Nidorino,Poison,  ,25,365,61,72,57,55,55,65,1
34,Nidoking,Poison,Ground,55,505,81,102,77,85,75,85,1
35,Clefairy,Fairy,  ,18,323,70,45,48,60,65,35,1
36,Clefable,Fairy,  ,32,483,95,70,73,95,90,60,1
37,Vulpix,Fire,,20,299,38,41,40,50,65,65,1
38,Ninetales,Fire,  ,40,505,73,76,75,81,100,100,1
39,Jigglypuff,Normal,Fairy,16,270,115,45,20,45,25,20,1
40,Wigglytuff,Normal,Fairy,42,435,140,70,45,85,50,45,1
41,Zubat,Poison,Flying,14,245,40,45,35,30,40,55,1
42,Golbat,Poison,Flying,38,455,75,80,70,65,75,90,1
43,Oddish,Grass,Poison,12,320,45,50,55,75,65,30,1
44,Gloom,Grass,Poison,27,395,60,65,70,85,75,40,1
45,Vileplume,Grass,Poison,67,490,75,80,85,110,90,50,1
46,Paras,Bug,Grass,14,285,35,70,55,45,55,25,1
47,Parasect,Bug,Grass,62,405,60,95,80,60,80,30,1
48,Venonat,Bug,Poison,22,305,60,55,50,40,55,45,1
49,Venomoth,Bug,Poison,58,450,70,65,60,90,75,90,1
50,Diglett,Ground,  ,15,265,10,55,25,35,45,95,1
51,Dugtrio,Ground,  ,49,405,35,80,50,50,70,120,1
52,Meowth,Normal,  ,25,290,40,45,35,40,40,90,1
53,Persian,Normal,  ,82,440,65,70,60,65,65,115,1
54,Psyduck,Water,  ,16,320,50,52,48,65,50,55,1
55,Golduck,Water,  ,67,500,80,82,78,95,80,85,1
56,Mankey,Fighting,  ,19,305,40,80,35,35,45,70,1
57,Primeape,Fighting,  ,42,455,65,105,60,60,70,95,1
58,Growlithe,Fire,  ,30,350,55,70,45,70,50,60,1
59,Arcanine,Fire,  ,87,555,90,110,80,100,80,95,1
60,Poliwag,Water,  ,10,300,40,50,40,40,40,90,1
61,Poliwhirl,Water,  ,38,385,65,65,65,50,50,90,1
62,Poliwrath,Water,Fighting,94,510,90,95,95,70,90,70,1
63,Abra,Psychic,  ,7,310,25,20,15,105,55,90,1
64,Kadabra,Psychic,  ,30,400,40,35,30,120,70,105,1
65,Alakazam,Psychic,  ,99,500,55,50,45,135,95,120,1
66,Machop,Fighting,  ,7,305,70,80,50,35,35,35,1
67,Machoke,Fighting,  ,55,405,80,100,70,50,60,45,1
68,Machamp,Fighting,  ,100,505,90,130,80,65,85,55,1
69,Bellsprout,Grass,Poison,10,300,50,75,35,70,30,40,1
70,Weepinbell,Grass,Poison,25,390,65,90,50,85,45,55,1
71,Victreebel,Grass,Poison,50,490,80,105,65,100,70,70,1
72,Tentacool,Water,Poison,10,335,40,40,35,50,100,70,1
73,Tentacruel,Water,Poison,57,515,80,70,65,80,120,100,1
74,Geodude,Rock,Ground,8,300,40,80,100,30,30,20,1
75,Graveler,Rock,Ground,33,390,55,95,115,45,45,35,1
76,Golem,Rock,Ground,80,495,80,120,130,55,65,45,1
77,Ponyta,Fire,  ,24,410,50,85,55,65,65,90,1
78,Rapidash,Fire,  ,55,500,65,100,70,80,80,105,1
79,Slowpoke,Water,Psychic,22,315,90,65,65,40,40,15,1
80,Slowbro,Water,Psychic,71,490,95,75,110,100,80,30,1
81,Magnemite,Electric,Steel,20,325,25,35,70,95,55,45,1
82,Magneton,Electric,Steel,51,465,50,60,95,120,70,70,1
83,Farfetch'd,Normal,Flying,55,352,52,65,55,58,62,60,1
84,Doduo,Normal,Flying,16,310,35,85,45,35,35,75,1
85,Dodrio,Normal,Flying,66,460,60,110,70,60,60,100,1
86,Seel,Water,  ,20,325,65,45,55,45,70,45,1
87,Dewgong,Water,Ice,71,475,90,70,80,70,95,70,1
88,Grimer,Poison,  ,20,325,80,80,50,40,50,25,1
89,Muk,Poison,  ,88,500,105,105,75,65,100,50,1
90,Shellder,Water,  ,1,305,30,65,100,45,25,40,1
